,senate,district,name,educcmte,reppercent,strata,newtreat,numbercalls,finalvote,anytreat,close,female,term,wnominate,democrat,extreme,lastterm,intended,cohort,
90,0,10,Harvey Santana,0,0.060081806,1,0,0,1,0,0.43991819,0,1,-0.684000015,1,0.684000015,0,0,2010,
91,0,1,Timothy Bledsoe,0,0.461916924,6,0,0,1,0,0.038083076,0,2,-0.773000002,1,0.773000002,0,0,2008,
92,1,16,"Caswell, Bruce",0,0.644690216,9,0,0,1,0,0.144690216,0,1,0.996999979,0,0.996999979,0,0,2010,
93,0,89,Amanda Price,1,0.721431613,8,0,0,0,0,0.221431613,1,1,0.787999988,0,0.787999988,0,0,2010,
94,0,41,Martin Knollenberg,0,0.662869275,11,0,0,1,0,0.162869275,0,3,0.808000028,0,0.808000028,1,0,2006,***ProblemOnBallotopedia
95,0,69,Mark S. Meadows,0,0.38378498,3,0,0,-1,0,0.11621502,0,3,-0.632000029,1,0.632000029,1,0,2006,***ProblemOnBallotopedia
96,0,97,Joel Johnson,0,0.612120092,10,0,0,0,0,0.112120092,0,1,0.75,0,0.75,0,0,2010,
97,0,3,Alberta Tinsley Talabi,0,0.038041104,1,0,0,1,0,0.461958885,1,1,-0.875999987,1,0.875999987,0,0,2010,
98,0,46,Bradford C. Jacobsen,0,0.725003004,8,1,21,1,1,0.225003004,0,1,0.808000028,0,0.808000028,0,22,2010,
99,0,33,Ken Goike,0,0.664773941,8,1,21,1,1,0.164773941,0,1,0.463999987,0,0.463999987,0,22,2010,
100,0,38,Hugh D. Crawford,1,0.675297439,10,1,21,1,1,0.175297439,0,2,0.808000028,0,0.808000028,0,22,2008,
101,0,65,Michael Shirkey,0,0.632254183,8,1,22,0,1,0.132254183,0,1,0.964999974,0,0.964999974,0,22,2010,
102,1,12,"Marleau, Jim",0,0.609013081,9,1,22,1,1,0.109013081,0,1,0.768000007,0,0.768000007,0,22,2010,*OtherChamberSince08
103,1,1,"Young, Coleman II",1,0.067298971,2,1,22,1,1,0.432701021,0,1,-0.734000027,1,0.734000027,0,22,2010,*OtherChamberSince08
104,1,28,"Jansen, Mark",0,0.739338338,9,1,22,1,1,0.239338338,0,2,0.787,0,0.787,0,22,2006,
105,0,28,Lesia Liss,0,0.370157599,3,1,22,1,1,0.129842401,1,2,-0.344999999,1,0.344999999,0,22,2008,
106,1,36,"Moolenaar, John",0,0.637856483,9,1,22,1,1,0.137856483,0,1,0.787,0,0.787,0,22,2010,
107,0,49,Jim Ananich,0,0.319478214,1,1,23,1,1,0.180521786,0,1,-0.416000009,1,0.416000009,0,22,2010,
