leg_state	leg_chamber	leg_party	leg_gender	leg_latino	leg_native	leg_arab	leg_asian	leg_white	leg_black	leg_nonblackminority	treat_out	outcitiesisausedoutcity	code_some_response_given	totalpop	whitepop	blackpop	nativepop	asianpop	islanderp	otherrace	hispanicp	totalhouses	urbanhouses	ruralhousing	medianhhincom	black_medianhh	latino_medianhh	white_medianhh	blackpercent	statessquireindex	blackvotingpe	nonblackvotin	district_overallturnout	census_district_blackpercent	demvotepercent	nonblacknonwhite	urbanpercent	leg_senator	keepthis	leg_democrat	south	chamber	dist_from_dist_to_out	helpful
"AL"	"L"	"D"	"M"	0	0	0	0	1	0	0	0	0	1	4.2383	32867	8367	362	171	14	44	558	19084	13321	5763	3.2227	1.259	12229	1.9496	0.19741406	0.071	0.49097645	0.46645695	0.47129744	0.19741406	1.0	0.0	0.69801927	0.0	1.0	1.0	1.0	"L"	2.7752328	1.0
"AL"	"L"	"R"	"M"	0	0	0	0	1	0	0	1	0	0	4.3425	37870	3992	533	199	10	53	768	17799	5028	12771	4.2603	1.4539	10705	2.2316	0.091928616	0.071	0.50701404	0.5328532	0.5304778	0.091928616	0.4251331	0.0	0.28248778	0.0	1.0	0.0	1.0	"L"	2.7891397	0.0
"AL"	"U"	"D"	"M"	0	0	0	0	1	0	0	0	0	1	12.2938	111270	5413	3495	273	51	136	2300	54830	10078	44752	3.1602	1.4689	9022	1.7015	0.044030324	0.071	0.48401996	0.4381791	0.4401975	0.044030324	0.5991495	0.0	0.18380447	1.0	1.0	1.0	1.0	"U"	2.5326023	1.0
"AL"	"L"	"D"	"M"	0	0	0	0	1	0	0	1	0	0	4.1796	35634	4352	354	206	13	52	1185	17642	8037	9605	3.6065	1.2707	6869	1.9067	0.10412481	0.071	0.47931984	0.4946854	0.49308547	0.1041248	0.57264334	0.0	0.4555606	0.0	1.0	1.0	1.0	"L"	2.9488986	0.0
"AL"	"L"	"R"	"M"	0	0	0	0	1	0	0	0	0	0	4.2506	28246	11401	755	951	44	193	916	18258	9400	8858	4.0421	1.6493	14310	2.1343	0.26822096	0.071	0.64283836	0.49901944	0.5375947	0.26822096	0.64522487	0.0	0.5148428	0.0	1.0	0.0	1.0	"L"	3.0113957	0.0
"AL"	"U"	"D"	"M"	0	0	0	0	1	0	0	1	0	1	12.1893	109269	7765	895	220	35	118	3591	55147	7793	47354	2.8126	1.0719	9560	1.55	0.06370341	0.071	0.41313586	0.39511776	0.39626557	0.06370341	1.0	0.0	0.14131321	1.0	1.0	1.0	1.0	"U"	2.5105305	0.0
"AL"	"L"	"D"	"M"	0	0	0	0	1	0	0	0	0	0	4.2636	34472	4714	2888	67	9	24	462	18445	1183	17262	3.0707	1.5101	11283	1.6812	0.110563844	0.071	0.49533305	0.4055166	0.41544703	0.110563844	0.67928463	0.0	0.064136624	0.0	1.0	1.0	1.0	"L"	2.5822272	0.0
"AL"	"L"	"D"	"M"	0	0	0	0	1	0	0	1	0	0	4.2038	27999	10123	456	304	22	87	3047	18695	18197	498	3.2728	1.1469	7725	2.1423	0.24080592	0.071	0.4383088	0.3822654	0.39576098	0.24080594	1.0	0.0	0.9733618	0.0	1.0	1.0	1.0	"L"	2.7760358	0.0
"AL"	"L"	"D"	"M"	0	0	0	0	1	0	0	0	0	0	4.2233	39679	1183	645	139	17	52	518	17387	4723	12664	3.6871	1.2148	12636	1.7938	0.028011272	0.071	0.38038886	0.4619245	0.45964056	0.028011272	0.5550801	0.0	0.27163973	0.0	1.0	1.0	1.0	"L"	2.7013187	0.0
"AL"	"L"	"R"	"M"	0	0	0	0	1	0	0	0	0	0	4.3911	34362	5746	636	1720	60	161	1226	20968	19979	989	4.8063	1.6936	18384	2.811	0.13085559	0.071	0.5741385	0.5006158	0.5102366	0.13085559	0.0	0.0	0.9528329	0.0	1.0	0.0	1.0	"L"	2.878416	0.0
"AL"	"L"	"R"	"M"	0	0	0	0	1	0	0	1	0	0	4.347	41288	64	400	112	27	46	1533	18362	2872	15490	3.4408	0.6159	9093	1.7695	0.00147228	0.071	0.28125	0.41971156	0.4195077	0.0014722798	0.45931432	0.0	0.15640998	0.0	1.0	0.0	1.0	"L"	2.5720475	0.0
"AL"	"L"	"D"	"M"	0	0	0	0	1	0	0	1	0	0	4.4528	42144	750	408	113	26	61	1026	21014	5802	15212	3.1102	1.2582	8114	1.6422	0.016843336	0.071	0.404	0.45454338	0.45369205	0.016843334		0.0	0.27610165	0.0	1.0	1.0	1.0	"L"	2.4591827	0.0
"AL"	"L"	"D"	"M"	0	0	0	0	1	0	0	0	0	0	4.1403	37417	2980	251	155	15	132	453	18684	7473	11211	3.0427	0.9883	11097	1.7313	0.07197546	0.071	0.34966442	0.40033314	0.39668623	0.07197546		0.0	0.39996788	0.0	1.0	1.0	1.0	"L"	2.242901	0.0
"AL"	"L"	"D"	"M"	0	0	0	0	1	0	0	0	0	0	4.1924	39534	1655	300	59	10	66	300	19574	4	19570	3.0262	1.0649	11738	1.5616	0.039476193	0.071	0.43564954	0.39405	0.3956922	0.039476193	1.0	0.0	2.043527E-4	0.0	1.0	1.0	1.0	"L"	2.1540155	0.0
"AL"	"U"	"R"	"M"	0	0	0	0	1	0	0	1	0	0	13.3953	117379	11617	795	892	24	165	3081	53990	22282	31708	4.4004	1.2279	12403	2.0942	0.086724445	0.071	0.76766807	0.53341615	0.55373156	0.086724445	0.0	0.0	0.41270602	1.0	1.0	0.0	1.0	"U"	0.3144769	0.0
"AL"	"L"	"R"	"F"	0	0	0	0	1	0	0	0	0	0	4.4664	41166	2730	332	112	9	67	248	17070	6097	10973	4.7018	1.0828	8646	2.0802	0.06112305	0.071	1.0131868	0.51406974	0.5445773	0.06112305	0.0	0.0	0.35717633	0.0	1.0	0.0	1.0	"L"	2.06388	0.0
"AL"	"U"	"R"	"M"	0	0	0	0	1	0	0	1	0	0	12.863	114387	10662	730	930	40	139	1742	53090	33623	19467	5.3153	1.5268	12160	3.0392	0.08288891	0.071	0.7469518	0.60312116	0.61504316	0.08288891	0.0	0.0	0.63332075	1.0	1.0	0.0	1.0	"U"	2.0930407	0.0
"AL"	"L"	"D"	"M"	0	0	0	0	1	0	0	1	0	0	4.1356	35942	4669	185	71	3	37	449	18677	2616	16061	3.0824	1.0669	13258	1.5991	0.11289777	0.071	0.46026987	0.45621064	0.4566689	0.11289777	1.0	0.0	0.14006533	0.0	1.0	1.0	1.0	"L"	1.9175934	0.0
